full_path,relative_path,style,filename,caption,emotion
data\raw\wikiart\Realism\james-tissot_a-dandy-1873.jpg,Realism\james-tissot_a-dandy-1873.jpg,Realism,james-tissot_a-dandy-1873.jpg,The colors makes it nostalgic and classy! An beautiful atmospheric imagine.,awe
data\raw\wikiart\Romanticism\karl-bryullov_portrait-of-the-architect-a-bolotov.jpg,Romanticism\karl-bryullov_portrait-of-the-architect-a-bolotov.jpg,Romanticism,karl-bryullov_portrait-of-the-architect-a-bolotov.jpg,The man looks stately since he's wearing a button-up shirt and a coat,awe
data\raw\wikiart\Post_Impressionism\martiros-saryan_flowers-1912.jpg,Post_Impressionism\martiros-saryan_flowers-1912.jpg,Post_Impressionism,martiros-saryan_flowers-1912.jpg,"This image is very plain and forgettable, nothing memorable",something else
data\raw\wikiart\Romanticism\william-holman-hunt_distant-view-of-nazareth-1861.jpg,Romanticism\william-holman-hunt_distant-view-of-nazareth-1861.jpg,Romanticism,william-holman-hunt_distant-view-of-nazareth-1861.jpg,The two women on the right look as though they have found something valuable in the ground.,excitement
data\raw\wikiart\Impressionism\robert-julian-onderdonk_sunlit-hillside-1913.jpg,Impressionism\robert-julian-onderdonk_sunlit-hillside-1913.jpg,Impressionism,robert-julian-onderdonk_sunlit-hillside-1913.jpg,"It looks like the wind is blowing because of the way the leaves are leaning, which makes the weather look crisp and fresh.",awe
data\raw\wikiart\Symbolism\nicholas-roerich_repentance-1917.jpg,Symbolism\nicholas-roerich_repentance-1917.jpg,Symbolism,nicholas-roerich_repentance-1917.jpg,a church on a hill covered in snow is so pretty,awe
data\raw\wikiart\Realism\ioannis-altamouras_study-on-the-ship-esmeralda.jpg,Realism\ioannis-altamouras_study-on-the-ship-esmeralda.jpg,Realism,ioannis-altamouras_study-on-the-ship-esmeralda.jpg,How the boat seems to be on the grass with no people on it is intriguing,something else
data\raw\wikiart\Impressionism\panayiotis-tetsis_portrait-of-a-man.jpg,Impressionism\panayiotis-tetsis_portrait-of-a-man.jpg,Impressionism,panayiotis-tetsis_portrait-of-a-man.jpg,The man looks happy but has an odd shape to his face.,amusement
data\raw\wikiart\Impressionism\john-henry-twachtman_bridgeport.jpg,Impressionism\john-henry-twachtman_bridgeport.jpg,Impressionism,john-henry-twachtman_bridgeport.jpg,The thin lines throughout the illustration suggest that the area depicted is modest and destitute.,sadness
data\raw\wikiart\Post_Impressionism\vincent-van-gogh_view-of-arles-from-a-hill-1888.jpg,Post_Impressionism\vincent-van-gogh_view-of-arles-from-a-hill-1888.jpg,Post_Impressionism,vincent-van-gogh_view-of-arles-from-a-hill-1888.jpg,It looks like on the left side there's smoke stacks that would be spreading coal ash across the landscape.,anger
data\raw\wikiart\Romanticism\orest-kiprensky_self-portrait-1828.jpg,Romanticism\orest-kiprensky_self-portrait-1828.jpg,Romanticism,orest-kiprensky_self-portrait-1828.jpg,The man looks very intelligent and content,contentment
data\raw\wikiart\Expressionism\roger-de-la-fresnaye_seated-bearded-man.jpg,Expressionism\roger-de-la-fresnaye_seated-bearded-man.jpg,Expressionism,roger-de-la-fresnaye_seated-bearded-man.jpg,"The man is naked, alone and his head is down and his eyes are closed.",sadness
data\raw\wikiart\Impressionism\guy-rose_vista-from-point-lobos-1919.jpg,Impressionism\guy-rose_vista-from-point-lobos-1919.jpg,Impressionism,guy-rose_vista-from-point-lobos-1919.jpg,"The overall scene is washed out, but the left half depicts the shadowed cove with some interest.",contentment
data\raw\wikiart\Impressionism\pierre-auguste-renoir_peasant-woman-standing-in-a-landscape-1884.jpg,Impressionism\pierre-auguste-renoir_peasant-woman-standing-in-a-landscape-1884.jpg,Impressionism,pierre-auguste-renoir_peasant-woman-standing-in-a-landscape-1884.jpg,You can tell the basket this woman is carrying is incredibly heavy based off of how her arms are positioned. I feel bad for her.,sadness
data\raw\wikiart\Color_Field_Painting\gene-davis_pink-stripe-1960.jpg,Color_Field_Painting\gene-davis_pink-stripe-1960.jpg,Color_Field_Painting,gene-davis_pink-stripe-1960.jpg,The colors are not appealing and blend to vicious with the eyes bringing anger.,anger
data\raw\wikiart\Northern_Renaissance\joachim-patinir_landscape-with-the-destruction-of-sodom-and-gomorrah.jpg,Northern_Renaissance\joachim-patinir_landscape-with-the-destruction-of-sodom-and-gomorrah.jpg,Northern_Renaissance,joachim-patinir_landscape-with-the-destruction-of-sodom-and-gomorrah.jpg,"The sky is lit up in a fiery shade of red, suggesting that a bomb has exploded",fear
data\raw\wikiart\Pop_Art\roy-lichtenstein_mirror-six-panels-3-1971(1).jpg,Pop_Art\roy-lichtenstein_mirror-six-panels-3-1971(1).jpg,Pop_Art,roy-lichtenstein_mirror-six-panels-3-1971(1).jpg,This reminds me of a broken screen of a computer I once had and desperatly could not fix and could not afford a new one,fear
data\raw\wikiart\Mannerism_Late_Renaissance\lavinia-fontana_portrait-of-ginevra-aldrovandi-hercolani-1595(1).jpg,Mannerism_Late_Renaissance\lavinia-fontana_portrait-of-ginevra-aldrovandi-hercolani-1595(1).jpg,Mannerism_Late_Renaissance,lavinia-fontana_portrait-of-ginevra-aldrovandi-hercolani-1595(1).jpg,The calmface and the sweet puppy are soothing,contentment
data\raw\wikiart\Impressionism\john-singer-sargent_violet-sleeping.jpg,Impressionism\john-singer-sargent_violet-sleeping.jpg,Impressionism,john-singer-sargent_violet-sleeping.jpg,The person appears exhausted as they sleep deeply.,contentment
data\raw\wikiart\Cubism\stanley-pinker_gone-but-not-forgotten-1976.jpg,Cubism\stanley-pinker_gone-but-not-forgotten-1976.jpg,Cubism,stanley-pinker_gone-but-not-forgotten-1976.jpg,The yellow in tbe painting is almost green and is the same color as bile,disgust
data\raw\wikiart\Realism\ilya-repin_on-the-embankment.jpg,Realism\ilya-repin_on-the-embankment.jpg,Realism,ilya-repin_on-the-embankment.jpg,"The woman is leaning over the balcony, doing what brings her contentment, looking at the sea.",contentment
data\raw\wikiart\Post_Impressionism\paul-cezanne_still-life-plate-and-fruit.jpg,Post_Impressionism\paul-cezanne_still-life-plate-and-fruit.jpg,Post_Impressionism,paul-cezanne_still-life-plate-and-fruit.jpg,"It's a boring painting of pears; it's nicely done, but there is nothing interesting about it.",something else
data\raw\wikiart\Abstract_Expressionism\clyfford-still_ph-21-1962.jpg,Abstract_Expressionism\clyfford-still_ph-21-1962.jpg,Abstract_Expressionism,clyfford-still_ph-21-1962.jpg,The colors blend well together and remind me of autumn.,contentment
