full_path,relative_path,style,filename,caption,emotion
data\raw\wikiart\Romanticism\konstantin-makovsky_cairene-1.jpg,Romanticism\konstantin-makovsky_cairene-1.jpg,Romanticism,konstantin-makovsky_cairene-1.jpg,"There is peace and tranquillity here, and the sunny backdrop adds to this.",contentment
data\raw\wikiart\Symbolism\nikolaos-gyzis_behold-the-celestial-bridegroom-cometh-1895.jpg,Symbolism\nikolaos-gyzis_behold-the-celestial-bridegroom-cometh-1895.jpg,Symbolism,nikolaos-gyzis_behold-the-celestial-bridegroom-cometh-1895.jpg,This is quite an awe inspiring painting of ghostly angels and saints with Jesus or God in the center.,excitement
data\raw\wikiart\Impressionism\henri-edmond-cross_landscape-1.jpg,Impressionism\henri-edmond-cross_landscape-1.jpg,Impressionism,henri-edmond-cross_landscape-1.jpg,This makes me feel anxious. The sweep of the trees feels like a storm is coming. The red and the shadows make it ominous.,something else
data\raw\wikiart\Post_Impressionism\pyotr-konchalovsky_peterhof-the-right-wing-of-the-palace-1931.jpg,Post_Impressionism\pyotr-konchalovsky_peterhof-the-right-wing-of-the-palace-1931.jpg,Post_Impressionism,pyotr-konchalovsky_peterhof-the-right-wing-of-the-palace-1931.jpg,The brightness of the building among the trees surrounding it feels like an expression of human intelligence and progress.,contentment
data\raw\wikiart\Impressionism\alfred-sisley_garden-path-in-louveciennes-chemin-de-l-etarch-1873.jpg,Impressionism\alfred-sisley_garden-path-in-louveciennes-chemin-de-l-etarch-1873.jpg,Impressionism,alfred-sisley_garden-path-in-louveciennes-chemin-de-l-etarch-1873.jpg,nostalgia because the type of trees in the background remind me of home,something else
data\raw\wikiart\Realism\hugo-simberg_the-artist-s-aunt-1898.jpg,Realism\hugo-simberg_the-artist-s-aunt-1898.jpg,Realism,hugo-simberg_the-artist-s-aunt-1898.jpg,The woman's expression looks sad and intense which makes me feel sad.,sadness
data\raw\wikiart\Impressionism\alfred-sisley_the-road-to-louveciennes-montbuisson-1875.jpg,Impressionism\alfred-sisley_the-road-to-louveciennes-montbuisson-1875.jpg,Impressionism,alfred-sisley_the-road-to-louveciennes-montbuisson-1875.jpg,It is just a simple plain landscape picture that has people out looking like they are enjoying a walk in the nice weather.,contentment
data\raw\wikiart\Realism\anders-zorn_a-portrait-of-jean-baptiste-faure-1891.jpg,Realism\anders-zorn_a-portrait-of-jean-baptiste-faure-1891.jpg,Realism,anders-zorn_a-portrait-of-jean-baptiste-faure-1891.jpg,The man looks so real.,awe
data\raw\wikiart\Baroque\judith-leyster_a-game-of-cards.jpg,Baroque\judith-leyster_a-game-of-cards.jpg,Baroque,judith-leyster_a-game-of-cards.jpg,"Looks like a fun game, love how the red top stands out",excitement
data\raw\wikiart\Realism\vasily-surikov_the-elder-menshikov-s-daughter-1882.jpg,Realism\vasily-surikov_the-elder-menshikov-s-daughter-1882.jpg,Realism,vasily-surikov_the-elder-menshikov-s-daughter-1882.jpg,"The woman looks hunched, clutching the fabric around her protectively, her face unsmiling, eyes blank.",sadness
data\raw\wikiart\Expressionism\jean-dubuffet_two-female-heads-in-profile.jpg,Expressionism\jean-dubuffet_two-female-heads-in-profile.jpg,Expressionism,jean-dubuffet_two-female-heads-in-profile.jpg,The hats and outfit feel like tonight will be a night of parties and dancing. Bold colors make the painting feel alive.,amusement
data\raw\wikiart\Impressionism\claude-monet_customs-house-at-varengeville-in-the-fog.jpg,Impressionism\claude-monet_customs-house-at-varengeville-in-the-fog.jpg,Impressionism,claude-monet_customs-house-at-varengeville-in-the-fog.jpg,The scratchy rendering and dark colors make me think the house is haunted.,fear
data\raw\wikiart\Impressionism\maurice-prendergast_two-women-in-a-park.jpg,Impressionism\maurice-prendergast_two-women-in-a-park.jpg,Impressionism,maurice-prendergast_two-women-in-a-park.jpg,Standing and seated figures suggest Insubordination or disagreement,amusement
data\raw\wikiart\Impressionism\willard-metcalf_snow-in-the-foothills.jpg,Impressionism\willard-metcalf_snow-in-the-foothills.jpg,Impressionism,willard-metcalf_snow-in-the-foothills.jpg,I love the way this scene makes me feel calm and peaceful like i am walking on a winter day.,contentment
