full_path,relative_path,style,filename,caption,emotion
data\raw\wikiart\Impressionism\edgar-degas_pagan-and-degas-father-1895.jpg,Impressionism\edgar-degas_pagan-and-degas-father-1895.jpg,Impressionism,edgar-degas_pagan-and-degas-father-1895.jpg,The man with the book looks like he is handing down a sentence to the other man,fear
data\raw\wikiart\Realism\david-burliuk_landscape-with-a-flowerbed-1906.jpg,Realism\david-burliuk_landscape-with-a-flowerbed-1906.jpg,Realism,david-burliuk_landscape-with-a-flowerbed-1906.jpg,I am in awe of the beauty in this painting and the colors used.,awe
data\raw\wikiart\Northern_Renaissance\hugo-van-der-goes_portrait-of-a-man-of-prayer-with-st-john-the-baptist.jpg,Northern_Renaissance\hugo-van-der-goes_portrait-of-a-man-of-prayer-with-st-john-the-baptist.jpg,Northern_Renaissance,hugo-van-der-goes_portrait-of-a-man-of-prayer-with-st-john-the-baptist.jpg,The man praying seems to be controlled by the one behind him.,contentment
data\raw\wikiart\Baroque\gerrit-dou_the-physician-1653-1.jpg,Baroque\gerrit-dou_the-physician-1653-1.jpg,Baroque,gerrit-dou_the-physician-1653-1.jpg,The person is in motion with their arm out and fingers slightly flared. They are holding a bottle. He inspects the contents of the bottle. The viewer wants to know what's in the bottle.,excitement
data\raw\wikiart\Realism\vincent-van-gogh_peasant-woman-head-5.jpg,Realism\vincent-van-gogh_peasant-woman-head-5.jpg,Realism,vincent-van-gogh_peasant-woman-head-5.jpg,disgusted by the draconian expressions of the lady,disgust
data\raw\wikiart\Baroque\diego-velazquez_queen-mariana-1657.jpg,Baroque\diego-velazquez_queen-mariana-1657.jpg,Baroque,diego-velazquez_queen-mariana-1657.jpg,"Her ornate hair and dress contrast well with her plain, homely face.",amusement
data\raw\wikiart\Post_Impressionism\alexandre-benois_self-portrait(2).jpg,Post_Impressionism\alexandre-benois_self-portrait(2).jpg,Post_Impressionism,alexandre-benois_self-portrait(2).jpg,"i like the squiggles and uneven strokes of the lines here, they give a lot of detail interest to the piece",awe
data\raw\wikiart\Baroque\rembrandt_an-old-man-seen-from-behind-1631.jpg,Baroque\rembrandt_an-old-man-seen-from-behind-1631.jpg,Baroque,rembrandt_an-old-man-seen-from-behind-1631.jpg,the expression on his face makes it seem like he's in a bad mood,fear
data\raw\wikiart\Baroque\rembrandt_bust-of-an-old-man-with-a-flowing-beard-the-head-bowed-forward-the-left-shoulder-unshaded-1630.jpg,Baroque\rembrandt_bust-of-an-old-man-with-a-flowing-beard-the-head-bowed-forward-the-left-shoulder-unshaded-1630.jpg,Baroque,rembrandt_bust-of-an-old-man-with-a-flowing-beard-the-head-bowed-forward-the-left-shoulder-unshaded-1630.jpg,The man in this sketch looks fairly serious in his face.,something else
data\raw\wikiart\Symbolism\mstislav-dobuzhinsky_garden-1915.jpg,Symbolism\mstislav-dobuzhinsky_garden-1915.jpg,Symbolism,mstislav-dobuzhinsky_garden-1915.jpg,This looks extremely peaceful and I love that this painting contrasts the tiny rural area with a more industrious area in the background. I am filled with contentment at the appeal of the simple life that is on display here.,contentment
data\raw\wikiart\Cubism\pablo-picasso_still-life-1922.jpg,Cubism\pablo-picasso_still-life-1922.jpg,Cubism,pablo-picasso_still-life-1922.jpg,"Boring: The grouping of the colors and shapes seems useless and pretentious, pointless even.",something else
data\raw\wikiart\Impressionism\camille-pissarro_woman-sitting-on-the-floor-1890.jpg,Impressionism\camille-pissarro_woman-sitting-on-the-floor-1890.jpg,Impressionism,camille-pissarro_woman-sitting-on-the-floor-1890.jpg,the subject looks really relaxing and calm but a little perplexed,contentment
data\raw\wikiart\Naive_Art_Primitivism\marc-chagall_tree-of-life-sketch-to-vitrage-in-chapelle-des-cordeliers-in-sarrebourg-1974.jpg,Naive_Art_Primitivism\marc-chagall_tree-of-life-sketch-to-vitrage-in-chapelle-des-cordeliers-in-sarrebourg-1974.jpg,Naive_Art_Primitivism,marc-chagall_tree-of-life-sketch-to-vitrage-in-chapelle-des-cordeliers-in-sarrebourg-1974.jpg,I am confused by the weird choice of colors are the abstraction.,something else
data\raw\wikiart\New_Realism\john-french-sloan_nude-standing.jpg,New_Realism\john-french-sloan_nude-standing.jpg,New_Realism,john-french-sloan_nude-standing.jpg,The  model looks like they have a curved spine.,sadness
data\raw\wikiart\Art_Nouveau_Modern\raphael-kirchner_smoking-women-1904-2.jpg,Art_Nouveau_Modern\raphael-kirchner_smoking-women-1904-2.jpg,Art_Nouveau_Modern,raphael-kirchner_smoking-women-1904-2.jpg,I do not think i would typically see a woman posed like that in negligee smoking a cigarette.,amusement
data\raw\wikiart\Northern_Renaissance\albrecht-durer_portrait-of-christian-ii-king-of-denmark.jpg,Northern_Renaissance\albrecht-durer_portrait-of-christian-ii-king-of-denmark.jpg,Northern_Renaissance,albrecht-durer_portrait-of-christian-ii-king-of-denmark.jpg,"This man looks disheartened, since he is staring off into the distance at no particular target",sadness
data\raw\wikiart\Northern_Renaissance\hans-memling_portrait-of-jacques-of-savoy-1470.jpg,Northern_Renaissance\hans-memling_portrait-of-jacques-of-savoy-1470.jpg,Northern_Renaissance,hans-memling_portrait-of-jacques-of-savoy-1470.jpg,The man's hat has a large crack running through it,sadness
data\raw\wikiart\Expressionism\amedeo-modigliani_nude-with-hat.jpg,Expressionism\amedeo-modigliani_nude-with-hat.jpg,Expressionism,amedeo-modigliani_nude-with-hat.jpg,"Her expression is priceless!  She's like, ""I am just so over this!"" I love it.",amusement
data\raw\wikiart\Realism\boris-kustodiev_portrait-of-m-v-dobuzhinsky-at-the-table-1913.jpg,Realism\boris-kustodiev_portrait-of-m-v-dobuzhinsky-at-the-table-1913.jpg,Realism,boris-kustodiev_portrait-of-m-v-dobuzhinsky-at-the-table-1913.jpg,The spread of food on the time looks pleasing and inviting,contentment
data\raw\wikiart\Impressionism\rudolf-schweitzer-cumpana_mo-gheorghe-s-lunch-1921.jpg,Impressionism\rudolf-schweitzer-cumpana_mo-gheorghe-s-lunch-1921.jpg,Impressionism,rudolf-schweitzer-cumpana_mo-gheorghe-s-lunch-1921.jpg,"I love the way it looks like this man is made of paint, it's quite intriguing!",awe
data\raw\wikiart\Fauvism\fikret-mualla-saygi_unknown-title-17.jpg,Fauvism\fikret-mualla-saygi_unknown-title-17.jpg,Fauvism,fikret-mualla-saygi_unknown-title-17.jpg,The blue colour along with the faceless characters make me feel a bit depressed. Like a rainy day.,sadness
data\raw\wikiart\Cubism\amadeo-de-souza-cardoso_composition-with-violin.jpg,Cubism\amadeo-de-souza-cardoso_composition-with-violin.jpg,Cubism,amadeo-de-souza-cardoso_composition-with-violin.jpg,The instrument is drawn as colorfully as the music it produces.,awe
data\raw\wikiart\Realism\klavdy-lebedev_portrait-of-boy.jpg,Realism\klavdy-lebedev_portrait-of-boy.jpg,Realism,klavdy-lebedev_portrait-of-boy.jpg,"This is a young boy or possibly a girl and, while the fur on the jacket indicates masculinity, the facial expression and untamped blond hair shows a combination of bewilderment and willingness to flaunt convention if necessary.",sadness
data\raw\wikiart\Art_Nouveau_Modern\nicholas-roerich_corridors-of-the-castle-dungeons-1913.jpg,Art_Nouveau_Modern\nicholas-roerich_corridors-of-the-castle-dungeons-1913.jpg,Art_Nouveau_Modern,nicholas-roerich_corridors-of-the-castle-dungeons-1913.jpg,A violet spider's web with lots of stones in this oil painting.,awe
data\raw\wikiart\Realism\vincent-van-gogh_two-boys-near-a-cart-1882.jpg,Realism\vincent-van-gogh_two-boys-near-a-cart-1882.jpg,Realism,vincent-van-gogh_two-boys-near-a-cart-1882.jpg,I am not a fan of cross-hatch style and the subject matter doesn't say much to me.,disgust
data\raw\wikiart\Romanticism\henry-raeburn_portrait-of-the-reverend-robert-walker-skating.jpg,Romanticism\henry-raeburn_portrait-of-the-reverend-robert-walker-skating.jpg,Romanticism,henry-raeburn_portrait-of-the-reverend-robert-walker-skating.jpg,This is a painting as a gentleman from around the 1800s he has on a very fancy black outfit with a black top hat and he is skating on the ice he has ice-skating it makes me content because it is made of warm colors in the background not typical of your type of ice-skating or you expect colors to be cool and blue these are more oranges and it be muses me because he is so dressed up and so content and intent on his figure skating and the outfit that he is wearingI’m so unexpected,contentment
data\raw\wikiart\Expressionism\vasile-kazar_unknown-title(101).jpg,Expressionism\vasile-kazar_unknown-title(101).jpg,Expressionism,vasile-kazar_unknown-title(101).jpg,the figures give a vivid sense of frantic movement and action,excitement
data\raw\wikiart\Abstract_Expressionism\salvador-dali_ecce-virgo-concipiet-isaiah-7-14-1967.jpg,Abstract_Expressionism\salvador-dali_ecce-virgo-concipiet-isaiah-7-14-1967.jpg,Abstract_Expressionism,salvador-dali_ecce-virgo-concipiet-isaiah-7-14-1967.jpg,The virgin and Jesus appear in a time of emotional crisis.,awe
data\raw\wikiart\Art_Nouveau_Modern\nicholas-roerich_zvenigorod-holy-gate-1904.jpg,Art_Nouveau_Modern\nicholas-roerich_zvenigorod-holy-gate-1904.jpg,Art_Nouveau_Modern,nicholas-roerich_zvenigorod-holy-gate-1904.jpg,"I don't understand why the grass looks like it is on parts of the building. It doesn't look , it makes it all look like they are bleeding together.",awe
